,2
Classifier Name,Archaea_to_Phylum
Member Organisms,"['Candidatus Methanoregula boonei 6A8', 'Methanococcus aeolicus Nankai-3', 'Methanococcus maripaludis C5', 'Methanococcus maripaludis C6', 'Methanococcus maripaludis C7', 'Methanococcus maripaludis S2', 'Methanococcus vannielii SB', 'Methanosarcina acetivorans C2A', 'Methanosarcina barkeri str. Fusaro', 'Methanosarcina mazei Go1', 'Pyrobaculum aerophilum str. IM2', 'Pyrobaculum arsenaticum DSM 13514', 'Pyrobaculum calidifontis JCM 11548', 'Pyrobaculum islandicum DSM 4184', 'Pyrococcus abyssi GE5', 'Pyrococcus furiosus DSM 3638', 'Pyrococcus horikoshii OT3', 'Sulfolobus acidocaldarius DSM 639', 'Sulfolobus solfataricus P2', 'Sulfolobus tokodaii str. 7']"
Classes to Learn,"['Euryarchaeota', 'Crenarchaeota']"
Best Bayes Classifier,
cv_results,"{'mean_fit_time': array([1107.25139385,  766.42768818,  746.11078024,  788.3454029 ]), 'std_fit_time': array([ 6.48389354,  5.82351524, 12.28539127,  7.27054314]), 'mean_score_time': array([176.44040895, 188.95462388, 190.18452621, 173.20318067]), 'std_score_time': array([2.11626708, 5.42700254, 7.49813687, 8.24275718]), 'param_C': masked_array(data=[10000, 10000, 1000, 1000],
             mask=[False, False, False, False],
       fill_value='?',
            dtype=object), 'param_gamma': masked_array(data=[0.1, 0.01, 0.1, 0.01],
             mask=[False, False, False, False],
       fill_value='?',
            dtype=object), 'param_kernel': masked_array(data=['rbf', 'rbf', 'rbf', 'rbf'],
             mask=[False, False, False, False],
       fill_value='?',
            dtype=object), 'params': [{'C': 10000, 'gamma': 0.1, 'kernel': 'rbf'}, {'C': 10000, 'gamma': 0.01, 'kernel': 'rbf'}, {'C': 1000, 'gamma': 0.1, 'kernel': 'rbf'}, {'C': 1000, 'gamma': 0.01, 'kernel': 'rbf'}], 'split0_test_score': array([0.93654995, 0.93256302, 0.93326644, 0.92802258]), 'split1_test_score': array([0.93845311, 0.93437138, 0.93476189, 0.9306554 ]), 'split2_test_score': array([0.93846959, 0.93409428, 0.93428568, 0.93029912]), 'split3_test_score': array([0.93660323, 0.93355809, 0.93404307, 0.92859388]), 'mean_test_score': array([0.93751897, 0.93364669, 0.93408927, 0.92939275]), 'std_test_score': array([0.00094259, 0.0006906 , 0.00054087, 0.00111033]), 'rank_test_score': array([1, 3, 2, 4], dtype=int32)}"
